Date(Sub-Obj),Subject, Object, Talked First, Turn Dur, Turn Dur SD, F0 Min, F0 Min SD, F0 Max, F0 Max SD, F0 Mean, F0 Mean SD, F0 SD, F0 SD SD, Pitch Range, Pitch Range SD, RMS Min, RMS Min SD, RMS Max, RMS Max SD, RMS Mean, RMS Mean SD
111-128,111,128,0,0.742,0.601,-1.673,-0.929,-0.692,-1.129,-1.014,-1.429,-0.623,-1.577,-0.303,-1.218,-0.56,0.453,0.629,-0.219,-0.065,-0.026
111-124,111,124,0,-0.898,-0.755,-1.37,-0.692,-1.08,-1.125,-1.146,-1.486,-1.062,-1.412,-0.863,-1.158,-0.005,-0.38,0.372,0.27,0.243,0.383
111-125,111,125,0,0.719,1.624,-1.412,-1.005,-0.707,-1.228,-0.865,-1.555,-0.501,-0.628,-0.402,-1.415,-0.433,-0.05,0.286,0.309,-0.165,0.328
111-126,111,126,0,2.294,3.328,-1.613,-0.671,-0.724,-1.273,-1.138,-0.53,-0.221,-1.043,-0.36,-1.263,-0.849,0.739,0.106,0.351,-0.837,0.097
111-121,111,121,0,0.256,-0.895,-1.659,-1.365,-0.72,-1.484,-1.003,-1.033,-0.743,-2.069,-0.34,-1.896,-0.709,-1.168,0.671,-0.187,-0.056,-0.152
111-122,111,122,0,1.737,2.92,-1.303,-0.1,-0.802,-0.695,-0.979,-0.453,-0.789,-0.829,-0.552,-0.449,-0.953,0.022,0.231,0.405,-0.382,0.26
111-123,111,123,0,0.448,0.578,-1.235,0.225,-0.825,-0.993,-1.063,-1.661,-0.814,-1.312,-0.6,-0.69,-0.536,1.705,0.998,-0.39,0.416,-0.033
220-224,220,224,0,-0.578,1.465,-0.386,-0.182,-1.173,-0.505,-0.918,-0.391,-0.52,0.91,-1.285,-0.333,-0.594,-0.929,-0.525,1.565,-0.534,1.666
220-221,220,221,0,1.179,0.797,-0.987,-0.229,-0.849,-0.765,-1.301,-0.917,-0.979,-0.945,-0.706,-0.47,-0.967,0.509,-0.663,2.323,-1.075,1.683
220-222,220,222,0,-0.589,-0.754,-0.682,1.05,-0.949,-1.359,-1.002,-0.253,-0.727,-1.295,-0.922,-1.195,-0.869,0.063,-0.318,1.7,-0.561,1.208
215-236,215,236,0,0.178,-0.023,-1.524,-1.411,-0.906,-0.413,-1.274,-0.949,-0.652,-0.648,-0.606,-0.582,-0.52,-0.695,0.24,0.121,-0.592,-0.182
117-128,117,128,0,1.776,2.862,-1.428,-0.242,-0.852,-0.931,-1.366,0.089,0.004,-0.426,-0.571,-0.883,-0.479,0.747,0.711,-0.079,0.323,0.482
208-240,208,240,0,0.502,-0.383,-1.414,-0.907,-0.816,-1.132,-0.983,-0.625,-0.961,-0.891,-0.533,-1.304,-0.745,-1.03,0.821,-0.174,-0.289,-0.274
117-127,117,127,0,-1.014,-0.881,-1.293,-1.246,-1.432,-0.075,-1.769,-0.73,-0.855,0.6,-1.309,-0.469,0.033,0.495,0.665,-0.048,0.731,0.384
117-124,117,124,0,0.754,1.893,-1.278,-1.195,-1.582,-0.068,-1.739,-0.687,-0.776,0.195,-1.493,-0.269,0.023,-0.741,0.26,0.789,0.094,0.933
214-222,214,222,0,-0.813,-1.168,-0.151,0.032,-0.793,-1.414,-0.483,-1.108,-0.92,-1.312,-0.902,-1.286,-0.302,0.828,1.156,-0.746,0.483,0.084
117-121,117,121,0,0.946,-0.407,-1.529,-1.444,-0.847,-1.002,-1.561,-0.688,-0.169,-0.659,-0.534,-1.163,-0.494,-0.396,1.079,-0.691,0.548,0.116
110-130,110,130,0,0.724,0.398,-1.512,-1.181,-0.749,-1.085,-1.155,-1.682,-0.232,-1.34,-0.421,-1.328,-1.072,-0.238,-0.513,0.596,-1.276,0.372
110-131,110,131,0,1.153,1.441,-1.362,-0.787,-0.91,-0.681,-1.049,-0.667,-0.694,-0.562,-0.662,-0.482,-0.538,-1.096,-0.099,0.588,-0.527,-0.058
110-136,110,136,0,1.183,0.514,-1.3,-0.793,-0.456,-1.81,-0.931,-1.086,-0.008,-1.4,-0.137,-1.608,-0.752,-0.346,-0.604,0.708,-1.082,0.186
110-135,110,135,0,1.067,0.907,-1.116,-0.646,-0.999,-0.592,-1.121,-1.375,-1.206,-1.466,-0.846,-0.453,-0.5,-0.288,1.043,-0.753,0.188,-0.473
110-138,110,138,0,-1.174,-0.658,-0.756,1.216,-1.681,0.112,-1.548,0.11,-1.492,-0.128,-1.778,0.18,-0.314,1.229,-1.652,1.559,-1.235,1.018
110-139,110,139,0,-0.616,-0.231,-1.022,-0.112,-1.035,-0.425,-1.109,-1.113,-0.372,-0.568,-0.919,-0.376,-0.621,0.328,-1.992,1.154,-1.795,0.891
118-137,118,137,0,-0.993,-0.906,-1.079,-0.738,-0.983,-0.591,-1.204,0.028,-0.591,-0.402,-0.838,-0.766,-0.807,0.263,0.244,1.061,0.262,1.001
316-332,316,332,0,0.485,1.005,-0.801,-0.214,-0.997,-0.815,-1.208,-1.211,-1.062,-0.7,-0.943,-0.751,-0.489,0.783,1.607,-1.236,1.886,-0.319
316-333,316,333,0,-0.509,-1.07,-0.453,-0.414,-0.969,-0.74,-1.078,-0.921,-1.206,-0.811,-1.018,-0.675,-0.866,0.036,1.628,-1.627,1.552,-0.233
306-337,306,337,0,-0.365,-0.606,-1.517,-1.087,-1.221,-0.806,-1.565,-0.888,-0.578,-0.541,-0.986,-0.867,-1.814,1.674,-2.331,1.421,-2.499,0.869
102-133,102,133,0,0.182,0.799,-1.041,-0.338,-0.836,-0.847,-0.901,-0.445,-0.47,-0.426,-0.674,-1.067,-0.449,-1.768,0.861,-0.076,0.264,0.154
102-131,102,131,0,3.223,4.573,-0.721,0.275,-0.488,-1.91,-0.779,0.001,-0.608,-1.987,-0.358,-1.675,-0.684,1.691,0.888,0.247,0.404,0.551
102-136,102,136,0,3.049,3.603,-1.33,-0.248,-0.558,-1.671,-0.761,-0.936,0.082,-1.493,-0.25,-1.573,-0.96,-0.765,0.528,0.635,0.031,0.353
102-135,102,135,0,7.792,5.691,-1.739,-1.184,-0.54,-1.712,-1.235,-0.274,-0.829,-1.805,-0.1,-1.755,-1.39,2.079,0.624,1.187,-0.31,1.256
106-136,106,136,0,0.619,0.128,-0.729,1.245,-0.646,-1.371,-0.318,-1.256,-1.17,-1.834,-0.544,-0.934,-0.57,-0.3,1.01,-0.323,0.608,-0.471
102-139,102,139,0,1.03,0.248,-0.709,0.107,-1.15,-0.795,-1.526,-0.786,-1.36,-0.481,-1.155,-0.535,-1.265,0.235,0.139,0.724,-0.611,0.635
105-139,105,139,0,0.415,-0.354,-1.344,-0.546,-1.111,-0.186,-1.355,0.074,-1.027,-0.302,-0.908,-0.065,-0.875,0.038,0.423,1.04,0.161,1.21
118-129,118,129,0,0.113,-0.973,-1.255,-1.054,-0.595,-1.426,-1.151,-0.488,-0.06,-1.023,-0.318,-1.722,-0.618,0.281,1.372,-1.276,0.899,-0.525
312-326,312,326,0,-0.078,-0.276,-0.752,0.778,-1.012,-0.576,-1.266,-0.365,-1.044,-0.518,-0.977,-0.54,-1.201,-0.017,-0.37,0.653,-0.826,0.715
312-325,312,325,1,0.809,0.44,-1.155,-0.348,-0.937,-0.926,-1.081,-0.602,-1.024,-0.894,-0.759,-0.915,-1.083,-1.559,-0.55,0.354,-1.218,0.001
118-125,118,125,0,0.032,-0.499,-1.275,-1.377,-1.147,-0.544,-1.711,-0.474,-0.595,0.717,-0.973,-0.62,-0.416,-0.848,0.473,-0.525,0.248,-0.017
118-124,118,124,0,1.634,0.943,-1.715,-1.58,-0.849,-1.164,-1.675,-1.222,-0.376,0.167,-0.478,-1.371,-0.411,-1.379,-0.73,1.436,-0.765,1.089
118-127,118,127,0,-0.784,-1.119,-0.566,-0.738,-1.051,-0.973,-1.403,-0.362,-0.738,-0.394,-1.081,-1.251,0.036,-0.939,0.994,-0.026,1.074,0.37
118-126,118,126,0,2.086,1.431,-0.782,0.097,-0.728,-0.877,-0.78,-0.515,-1.038,-1.128,-0.626,-0.552,-0.369,2.742,1.099,0.861,1.509,1.815
118-121,118,121,0,0.166,-0.784,-1.311,0.09,-1.363,-0.88,-1.989,-1.048,-1.171,-0.844,-1.221,-0.723,-1.022,-1.653,0.529,-0.111,0.352,0.331
118-123,118,123,1,1.815,1.844,-1.103,-1.194,-1.323,-0.346,-1.789,-1.165,-1.54,-0.921,-1.238,-0.506,-0.413,-0.46,1.206,-0.524,1.001,-0.002
118-122,118,122,0,1.405,1.98,-0.985,-0.849,-0.872,-1.329,-1.352,1.189,-0.552,-0.798,-0.735,-1.949,-0.546,-0.967,0.279,0.783,0.392,1.264
218-237,218,237,0,0.744,0.226,-0.813,-0.266,-1.023,-0.774,-1.007,-0.502,-1.65,-1.45,-0.97,-1.006,-0.736,2.048,0.42,0.561,-0.047,0.773
106-130,106,130,0,0.952,0.09,-1.19,-0.292,-0.456,-1.886,-0.096,-1.141,-0.575,-2.07,-0.172,-1.687,-0.612,0.1,1.056,-0.253,0.338,0.105
308-328,308,328,0,-0.632,-0.844,-0.721,-0.16,-0.881,-0.975,-0.879,-0.696,-0.774,-1.056,-0.829,-0.97,-0.883,0.179,-0.207,1.74,-0.512,1.333
308-329,308,329,1,0.636,0.485,-0.253,0.994,-0.602,-1.184,-0.317,0.367,-0.711,-1.568,-0.642,-1.03,-0.852,2.791,0.932,-0.158,0.509,0.722
102-129,102,129,0,-0.264,-0.238,-0.6,-0.172,-0.8,-1.638,-0.976,-0.96,-0.546,-1.064,-0.77,-1.42,-0.461,1.21,0.672,0.314,0.416,0.593
308-323,308,323,0,1.842,1.767,-1.248,0.486,-0.787,-0.813,-0.907,-0.843,-1.054,-1.387,-0.55,-0.575,-1.141,0.716,0.009,2.002,-0.829,2.17
213-240,213,240,0,0.458,-0.071,-1.467,-1.462,-0.843,-0.846,-1.277,-1.808,-0.433,-0.954,-0.548,-1.082,-0.943,-0.045,-2.365,0.995,-2.313,0.47
308-327,308,327,0,-0.742,-1.127,-0.923,-0.533,-0.682,-0.837,-0.864,-0.844,-0.551,-0.962,-0.527,-1.069,-0.768,1.315,0.63,0.574,0.251,0.701
116-122,116,122,0,1.853,2.27,-1.228,-1.051,-0.84,-1.156,-1.002,-1.339,-0.629,-1.326,-0.62,-1.189,-0.716,-0.606,0.959,-0.187,0.299,0.171
116-121,116,121,0,-0.339,-0.563,-0.992,-1.005,-1.107,-0.785,-1.006,-1.539,-0.832,-0.706,-1.015,-0.841,-0.386,-1.218,0.936,-0.124,0.439,0.264
201-222,201,222,0,-0.822,-1.169,-1.197,-1.162,-0.982,-0.301,-1.324,0.021,-0.333,0.216,-0.8,-0.722,-1.187,-0.501,-1.084,0.88,-1.472,0.395
207-224,207,224,0,-0.735,-0.364,0.329,1.68,-1.216,-0.809,-0.564,0.169,-1.289,-0.373,-1.562,-0.542,-0.301,-0.7,0.224,1.097,0.065,0.962
207-226,207,226,0,-0.467,-0.28,-0.43,0.577,-1.115,-0.74,-0.703,-0.869,-1.239,-0.607,-1.201,-0.312,-0.548,0.51,-0.98,1.283,-1.039,0.973
207-221,207,221,0,0.005,-0.329,-1.21,0.248,-1.075,-0.924,-0.99,-0.715,-1.081,-0.743,-0.908,-0.721,-0.779,-1.256,-0.757,1.303,-1.392,0.743
207-222,207,222,0,-0.625,-0.527,-0.451,0.06,-1.075,-0.595,-0.825,-1.058,-1.024,-0.315,-1.146,-0.377,-0.933,0.792,-0.488,1.358,-0.67,1.189
209-226,209,226,0,-0.548,-0.204,-0.465,0.948,-0.698,-1.251,-0.231,-0.661,-0.355,-0.23,-0.69,-0.923,0.157,-0.473,0.61,0.711,0.764,1.019
112-129,112,129,0,-0.207,0.081,-1.153,-0.728,-0.807,-1.228,-0.522,-0.312,-0.252,-0.552,-0.604,-1.206,-0.53,-0.489,-0.092,0.442,-0.221,0.447
209-224,209,224,0,-0.561,0.269,0.185,-0.656,-1.289,-0.355,-1.039,-0.863,-1.523,-0.29,-1.604,-0.474,0.552,0.671,1.587,-1.304,2.206,-0.615
209-222,209,222,0,-0.867,-0.965,-0.535,0.536,-1.064,-0.245,-0.834,0.219,-1.146,-0.654,-1.107,-0.239,-0.78,0.347,0.756,1.061,0.516,1.352
209-221,209,221,0,-0.729,0.175,-0.761,-0.465,-1.73,-0.116,-1.311,-0.989,-1.998,-1.053,-1.834,-0.203,-0.38,-0.468,1.192,-0.32,1.096,0.523
218-224,218,224,0,-1.122,-0.75,0.216,0.407,-1.156,-0.921,-0.554,-0.278,-1.215,-0.987,-1.454,-0.935,-0.293,-0.708,-0.503,2.04,-0.114,1.645
112-123,112,123,0,1.082,1.183,-1.149,-0.949,-0.807,-0.963,-0.846,-1.437,-0.678,-0.205,-0.605,-1.19,-1.037,-0.276,-0.205,1.5,-0.712,1.501
112-121,112,121,0,0.127,-0.444,-1.062,-0.572,-0.794,-1.192,-0.803,-1.183,-0.682,-1.434,-0.617,-1.111,-0.669,-0.875,0.448,0.427,0.088,0.878
112-127,112,127,0,-0.912,-0.51,-0.554,0.044,-1.118,-0.526,-0.954,-0.742,-0.965,-0.888,-1.166,-0.588,-0.241,1.612,0.183,0.828,0.094,0.917
312-332,312,332,0,-0.264,-0.706,-1.104,-0.478,-1.101,-0.322,-1.337,-1.033,-0.887,-0.028,-0.972,-0.278,-1.327,-0.31,-1.391,0.756,-1.813,0.556
112-125,112,125,0,-0.204,0.547,-0.892,-0.291,-0.943,-0.263,-0.706,-0.151,-0.691,-0.36,-0.849,-0.42,-0.277,-0.261,0.019,1.061,-0.443,1.413
218-226,218,226,0,-0.003,-0.517,-0.377,-0.406,-0.957,-0.714,-0.723,-1.061,-1.29,-0.872,-1.029,-0.593,-0.247,-1.081,0.632,-0.254,0.263,-0.198
318-329,318,329,0,-0.632,-0.399,-1.725,-1.255,-1.14,-0.725,-1.377,-0.827,-0.238,-1.546,-0.823,-0.918,-1.009,1.045,-3.93,0.688,-2.933,-0.315
318-328,318,328,0,-0.914,-0.696,-1.657,-1.175,-1.42,-0.403,-1.393,-0.29,-0.688,-0.374,-1.18,-0.626,-1.104,-0.566,-4.753,0.377,-3.333,0.08
318-325,318,325,0,-0.156,0.282,-1.493,-1.039,-1.503,0.081,-1.9,-0.832,-1.079,0.251,-1.331,0.111,-1.502,-0.268,-5.733,0.647,-4.127,0.365
318-327,318,327,0,-0.404,-0.571,-2.06,-1.87,-1.07,-0.86,-1.772,-1.6,-0.415,-0.656,-0.633,-1.013,-0.983,-0.751,-4.273,-0.026,-3.168,-0.542
318-326,318,326,0,1.202,3.27,-1.257,1.809,-1.003,-0.8,-1.361,0.122,-0.146,0.117,-0.806,-0.284,-1.521,1.679,-4.468,1.521,-3.601,0.312
318-323,318,323,0,-0.29,0.662,-1.555,-1.551,-1.277,-0.272,-1.711,-0.991,-0.607,-0.224,-1.04,-0.541,-1.635,0.413,-4.231,0.733,-3.379,0.489
107-128,107,128,1,0.492,-0.073,-1.313,-0.616,-0.626,-0.744,-0.562,-0.11,-0.016,-0.604,-0.337,-0.661,-0.701,2.521,-0.093,1.523,-0.242,1.758
306-323,306,323,0,-0.439,-0.317,-1.205,-0.808,-1.003,-1.463,-1.372,0.023,-0.21,-1.179,-0.823,-1.648,-0.998,-0.798,-1.904,1.309,-2.06,0.616
201-238,201,238,0,-0.664,-0.849,-0.867,0.116,-0.871,-0.829,-1.13,-0.426,-0.451,-0.039,-0.771,-0.713,-0.593,1.361,-0.107,0.708,-0.58,0.608
201-239,201,239,0,-0.694,-1.161,-1.114,-1.213,-0.935,-0.967,-1.374,-1.161,-0.576,-0.426,-0.77,-1.279,-0.717,0.018,0.014,0.566,-0.439,0.438
304-333,304,333,0,-0.967,-1.008,-0.117,-0.088,-0.971,-0.538,-1.004,-0.513,-1.172,-0.498,-1.127,-0.569,-1.413,0.233,-0.932,1.085,-1.34,0.922
201-234,201,234,0,-0.996,0.2,-0.87,-0.887,-1.075,-0.265,-1.13,-0.299,-0.736,0.405,-1.014,-0.31,-0.108,-0.623,0.092,0.613,-0.192,0.568
201-235,201,235,0,-0.325,-0.545,-1.361,-0.832,-1.064,-0.623,-1.615,-1.292,-0.969,-0.588,-0.847,-0.751,-0.563,0.091,-0.789,0.367,-1.072,-0.098
201-236,201,236,0,1.428,0.906,-1.777,-1.7,-0.593,-0.606,-1.185,-1.479,-0.032,-1.031,-0.151,-0.9,-0.287,-1.84,0.612,-0.508,-0.265,-0.619
201-237,201,237,0,-0.557,-0.517,-1.108,-0.926,-1.021,-0.706,-1.081,-0.58,-0.695,-0.393,-0.875,-0.674,-0.117,-0.229,0.501,-0.041,0.217,0.395
201-230,201,230,1,-0.503,-0.911,-1.378,-0.372,-0.872,-0.421,-1.031,0.503,-0.37,-0.219,-0.611,-0.669,-0.589,3.504,-1.662,1.73,-1.543,1.9
107-138,107,138,0,-0.608,-0.845,-0.321,-0.124,-0.871,-0.884,-0.688,-0.132,-0.722,-1.028,-0.943,-0.994,-0.811,0.081,1.177,-0.765,1.008,0.216
107-139,107,139,0,0.304,0.138,-0.995,0.084,-0.927,-0.912,-1.095,-0.783,-0.778,-0.903,-0.797,-0.785,-0.716,-0.897,0.231,1.291,-0.069,1.149
118-133,118,133,1,1.03,-0.181,-1.043,-0.941,-0.926,-1.349,-1.346,-1.603,-0.902,-1.511,-0.781,-1.499,-0.405,-1.007,1.259,-0.476,1.058,-0.023
107-130,107,130,0,3.221,2.139,-1.275,-0.772,-0.404,-2.287,-0.776,-2.215,-0.136,-1.716,-0.083,-2.139,-0.209,-0.725,1.319,-0.495,1.19,0.129
107-136,107,136,0,3.249,2.652,-1.833,-1.385,-0.532,-1.723,-0.881,-1.877,-0.003,-2.059,-0.06,-1.842,-0.613,-1.262,1.214,-0.291,0.671,-0.017
107-127,107,127,0,-1.702,-1.306,-0.47,-0.529,-1.105,-0.278,-0.783,0.082,-0.549,-0.137,-1.177,-0.518,-0.108,0.04,-0.452,1.153,-0.028,1.129
206-236,206,236,0,-0.678,-0.575,-0.258,0.255,-1.008,-0.816,-0.323,-1.404,-1.008,-0.469,-1.127,-0.524,-0.424,1.508,0.361,0.553,0.048,0.894
214-229,214,229,0,-0.654,-0.573,-0.551,-0.547,-0.91,-0.727,-0.44,-0.632,-0.791,-1.044,-0.917,-0.643,-0.023,-1.019,0.532,0.197,-0.1,0.276
118-135,118,135,0,1.37,1.315,-1.159,-1.215,-1.272,-0.511,-1.989,-1.554,-1.398,-1.026,-1.159,-0.686,-0.386,0.604,0.674,0.012,0.631,0.309
105-131,105,131,0,1.51,1.342,-1.409,-1.338,-0.509,-1.591,-0.356,-1.153,0.08,-1.473,-0.167,-1.525,-0.095,-0.795,1.052,-0.574,0.646,-0.353
105-135,105,135,0,2.902,3.877,-1.062,0.334,-0.817,-1.404,-1.151,-0.138,-0.758,-1.354,-0.645,-1.19,-0.456,0.501,1.501,-1.435,0.902,-0.296
105-136,105,136,1,2.572,2.564,-1.432,-1.245,-0.466,-1.407,-1.106,-1.055,0.307,-1.04,-0.107,-1.722,-0.665,2.983,0.051,1.281,-0.419,1.51
105-138,105,138,0,0.508,-0.444,-1.621,-1.464,-1.064,-0.558,-1.559,-0.289,-0.842,-0.704,-0.764,-0.879,-1.174,1.822,0.636,0.36,-0.024,0.569
208-230,208,230,0,-0.519,-0.959,-1.133,-0.746,-0.563,-1.298,-0.465,-0.689,0.038,-0.597,-0.318,-1.357,-0.858,-0.777,-0.368,1.514,-0.957,1.221
119-138,119,138,0,-0.452,-0.618,-0.912,-1.126,-1.666,-0.102,-1.754,-1.739,-1.767,-0.257,-1.709,-0.31,-1.312,0.217,-1.565,0.961,-1.494,1.015
208-234,208,234,0,-1.744,-1.759,-0.406,0.367,-0.737,-1.168,-0.428,-0.905,-0.231,-0.486,-0.756,-1.052,-0.327,0.853,0.022,0.883,-0.529,1.308
208-237,208,237,0,-0.439,0.266,-0.164,0.877,-1.063,-0.721,-0.563,1.095,-0.965,0.242,-1.222,-0.851,-0.681,2.811,-0.08,1.566,-0.287,2.338
208-236,208,236,0,-1.071,-0.842,-0.599,0.208,-1.006,-1.237,-0.379,-1.19,-0.699,-0.571,-1.017,-1.279,-0.11,-0.275,-0.296,1.407,-0.406,1.164
208-239,208,239,0,-0.823,-1.236,-0.972,-1.022,-1.146,-0.831,-0.883,-0.028,-1.018,-0.645,-1.067,-1.233,-0.973,-0.709,-0.799,0.665,-1.36,0.48
208-238,208,238,0,-0.951,-0.304,-0.558,0.505,-0.855,-0.887,-0.342,-0.438,-0.565,-0.767,-0.849,-0.721,-0.327,-1.431,-0.96,1.215,-0.955,0.827
114-126,114,126,0,0.147,0.189,-0.11,1.204,-0.941,-0.586,-0.801,-0.251,-1.082,-0.77,-1.093,-0.263,-0.753,-1.176,-0.16,1.277,-0.804,0.705
116-127,116,127,1,-1.052,-1.061,-0.871,-0.077,-1.101,-1.03,-0.936,-0.774,-0.712,-1.249,-1.045,-1.019,-0.54,2.58,0.119,1.335,-0.182,1.275
116-126,116,126,0,1.598,1.283,-0.513,0.202,-0.942,-0.791,-0.822,0.577,-0.761,-0.148,-0.968,-0.567,-0.385,0.868,-0.017,2.068,-0.385,2.239
116-125,116,125,0,0.045,-0.175,-0.333,-0.682,-0.983,-0.697,-0.798,-1.161,-1.035,-0.735,-1.074,-0.758,0.029,-1.327,1.047,0.035,0.643,0.251
116-124,116,124,0,1.786,1.405,-1.38,-0.609,-0.825,-1.141,-0.984,-1.7,-0.998,-1.893,-0.554,-1.05,-0.365,-0.003,0.515,0.066,-0.509,-0.231
317-327,317,327,0,-1.015,-0.683,0.158,1.457,-0.908,-1.138,-0.707,-0.52,-0.941,-0.553,-1.138,-0.842,-0.647,0.978,0.796,0.575,0.631,1.178
116-128,116,128,0,1.102,0.97,-1.416,-0.466,-0.581,-1.404,-0.894,-1.319,-0.461,-1.253,-0.25,-1.445,-0.324,0.606,0.838,0.209,0.225,0.374
212-222,212,222,0,0.359,-0.276,-0.798,0.217,-0.574,-1.347,-0.899,-0.057,-0.647,-0.051,-0.437,-1.188,-1.141,0.851,-0.428,0.841,-1.002,0.627
212-221,212,221,1,0.342,-0.308,-1.137,-0.943,-1.153,-0.318,-1.329,-0.173,-1.218,-0.607,-1.024,-0.435,-1.24,0.784,-1.22,1.458,-1.557,1.305
212-226,212,226,0,1.352,0.705,-1.128,0.25,-0.814,-1.685,-1.192,-0.528,-0.914,-0.58,-0.62,-1.305,-0.777,0.198,-0.05,1.07,-0.496,0.41
212-224,212,224,0,-0.661,-0.233,0.427,0.85,-1.015,-1.068,-0.561,0.509,-1.052,-0.627,-1.351,-0.869,-0.508,-0.979,-0.957,1.981,-0.936,1.326
212-229,212,229,0,-0.082,-0.446,-0.514,0.685,-1.112,-0.752,-0.818,-0.24,-1.205,-1.048,-1.171,-0.391,-0.683,-0.677,-1.087,1.484,-1.228,1.076
307-336,307,336,0,0.376,1.488,-1.337,-0.98,-1.341,-0.564,-1.797,-0.696,-1.217,-0.97,-1.187,-0.719,-0.825,0.136,0.208,0.371,-0.171,0.856
307-337,307,337,0,-0.017,-0.324,-1.593,-1.533,-1.016,-0.952,-1.445,-0.543,-0.358,-0.576,-0.716,-1.149,-0.99,-0.403,-0.862,1.233,-1.08,1.159
312-335,312,335,0,0.547,0.066,-1.119,-0.974,-0.792,-0.944,-1.261,-1.42,-0.956,-1.252,-0.596,-1.002,-1.58,0.22,-1.4,1.108,-1.797,0.951
307-335,307,335,1,-0.036,-0.129,-0.631,0.946,-0.974,-1.143,-0.907,0.447,-0.658,-0.405,-0.968,-0.812,-1.389,0.39,-1.247,2.115,-1.397,1.665
307-332,307,332,0,0.293,-0.25,-1.451,-0.563,-0.735,-1.505,-1.323,-0.089,-0.194,-0.648,-0.424,-1.602,-0.687,-1.061,-0.297,1.342,-0.619,1.146
307-333,307,333,1,-0.338,-0.654,-0.875,0.037,-1.242,-0.122,-1.108,0.555,-1.094,0.58,-1.213,0.057,-0.914,-0.518,-0.604,1.906,-0.7,1.744
317-326,317,326,0,-0.637,-0.734,-0.465,0.289,-1.413,-0.373,-1.169,-0.844,-1.603,-1.095,-1.547,-0.183,-0.7,-0.028,0.33,1.339,-0.205,1.389
213-226,213,226,0,-0.041,-0.493,-0.917,-0.723,-0.885,-1.058,-0.872,-0.169,-0.319,-0.581,-0.772,-1.102,-0.333,-1.192,-1.062,0.927,-1.135,0.188
211-237,211,237,0,0.731,0.381,-1.398,-0.557,-0.85,-1.126,-0.978,-0.56,-1.033,-1.292,-0.579,-1.136,-0.518,0.158,-0.173,1.125,-0.526,0.842
312-336,312,336,0,-0.269,-0.072,-1.137,-0.77,-1.32,0.01,-1.665,-1.517,-1.745,-1.135,-1.224,-0.004,-1.274,-0.16,-0.865,0.719,-1.034,0.712
317-325,317,325,0,0.111,-0.443,-0.949,-0.694,-1.016,-0.568,-1.079,-0.617,-1.147,-1.082,-0.919,-0.798,-0.982,0.359,0.627,0.324,-0.132,0.889
118-138,118,138,0,0.411,-0.18,-1.383,-1.313,-1.227,-0.361,-2.112,-0.866,-1.176,0.643,-1.035,-0.605,-1.472,-0.784,-0.324,0.745,-0.58,0.694
317-323,317,323,0,-0.171,0.058,-0.667,0.6,-1.205,-0.812,-1.021,-0.444,-1.351,-0.758,-1.234,-0.712,-1.112,-1.026,0.404,0.867,-0.505,1.249
312-337,312,337,0,-0.169,-0.548,-1.053,-0.673,-1.029,-0.864,-1.241,-1.443,-0.985,-1.299,-0.901,-0.708,-1.426,1.423,-1.252,1.155,-1.724,0.733
313-335,313,335,0,0.486,0.131,-0.305,0.822,-0.532,-1.629,-0.375,-1.273,-0.6,-0.884,-0.542,-1.06,-1.674,-0.907,-1.597,2.295,-2.177,1.372
108-130,108,130,0,1.268,0.835,-1.506,-0.663,-0.781,-0.759,-1.036,-1.48,-0.338,-0.903,-0.461,-0.774,-0.745,-0.718,-0.245,1.349,-0.925,0.395
313-337,313,337,0,-0.54,-1.008,-0.767,0.183,-0.871,-1.174,-0.591,-1.44,-1.074,-1.519,-0.803,-1.044,-1.157,-0.972,-1.043,0.92,-1.643,0.497
313-336,313,336,0,-0.355,-0.18,-0.678,0.721,-1.027,-0.883,-0.545,-0.797,-0.703,-0.327,-1.017,-0.598,-1.625,0.033,-3.666,2.502,-3.218,1.353
317-337,317,337,0,-0.265,-0.189,-0.736,-0.804,-1.174,-0.589,-1.17,-0.856,-1.164,-0.96,-1.175,-0.663,-1.212,-0.171,-0.025,0.358,-0.661,0.313
118-139,118,139,0,-0.322,-0.424,-0.861,0.061,-1.239,-0.792,-1.719,0.109,-1.123,0.4,-1.213,-0.747,-0.782,-0.072,0.697,0.302,0.987,0.765
313-332,313,332,0,0.425,-0.238,-1.211,-0.254,-0.757,-0.944,-0.746,-1.429,-1.051,-1.4,-0.527,-0.696,-1.188,0.215,-2.152,1.138,-2.316,0.423
317-336,317,336,0,0.617,0.461,-1.12,-1.156,-0.858,-0.7,-1.126,-0.112,-0.624,-0.72,-0.675,-0.931,-1.752,0.995,-0.284,1.618,-0.995,2.118
308-326,308,326,0,-0.352,-0.631,-0.477,-0.238,-0.708,-1.267,-0.732,-0.682,-0.665,-0.8,-0.698,-1.221,-0.839,1.494,0.1,1.242,-0.307,1.616
306-332,306,332,1,-0.269,-0.824,-1.618,-1.02,-1.024,-0.984,-1.425,-0.43,-0.312,-0.998,-0.718,-1.225,-0.961,-0.593,-1.854,1.53,-2.1,0.825
116-138,116,138,1,0.816,0.743,-1.226,-0.092,-0.925,-0.526,-1.278,-1.338,-0.776,-0.483,-0.722,-0.399,-1.183,2.593,0.896,-0.099,0.042,0.064
306-336,306,336,0,0.253,-0.032,-1.434,-1.184,-0.95,-1.034,-1.413,-0.827,-0.02,-0.462,-0.687,-1.195,-1.323,0.713,-1.371,1.227,-2.044,0.868
